SKU,Brand,Product Name,Description,Materials Composition,Cleaning tips,Quantity,Sizes,Variant 1 Type,Variant 1 Value A,Variant 2 Type,Variant 2 Value,Colour,Sell Price,Weight,Image name,Main category,Categories tags,Return Policy,Comment,,,,,,,,,,,,,,,,
AMA-BG-RED-MINI,Amaluma,Petal Bag Mini Red,"EACH BAG IS CRAFTED FROM CAREFULLY SELECTED, UPCYCLED MATERIALS, ENSURING BOTH STYLE AND SUSTAINABILITY. UPCYCLED BEDSHEETS.Every bag comes with a handmade dust bag . Handmade in Berlin.","Recycled polyester, upcycled from premium sheets","Dry cleaning for optimal results. However, if you choose to wash it at home, use a washing machine with cold water or set the temperature to a maximum of 30°C to prevent damage.",1,"Width : 30 cm  
Depth : 20 cm 
Handle : 50 cm",,,,,Red,€99.00,,Petal Bag Mini Red,Bags,Bags / Accessories / New in,,,,,,,,,,,,,,,,,,
AMA-BG-PNK-MINI,Amaluma,Petal Bag Mini Pink,"EACH BAG IS CRAFTED FROM CAREFULLY SELECTED, UPCYCLED MATERIALS, ENSURING BOTH STYLE AND SUSTAINABILITY. UPCYCLED BEDSHEETS.Every bag comes with a handmade dust bag . Handmade in Berlin.","Recycled polyester, upcycled from premium sheets","Dry cleaning for optimal results. However, if you choose to wash it at home, use a washing machine with cold water or set the temperature to a maximum of 30°C to prevent damage.",1,"Width : 30 cm  
Depth : 20 cm 
Handle : 50 cm",,,,,Pink,€99.00,,Petal Bag Mini Pink,Bags,Bags / Accessories / New in,,,,,,,,,,,,,,,,,,
AMA-BG-BLK-MINI,Amaluma,Petal Bag Mini Black,"EACH BAG IS CRAFTED FROM CAREFULLY SELECTED, UPCYCLED MATERIALS, ENSURING BOTH STYLE AND SUSTAINABILITY. UPCYCLED BEDSHEETS.Every bag comes with a handmade dust bag . Handmade in Berlin.","Recycled polyester, upcycled from premium sheets","Dry cleaning for optimal results. However, if you choose to wash it at home, use a washing machine with cold water or set the temperature to a maximum of 30°C to prevent damage.",1,"Width : 30 cm  
Depth : 20 cm 
Handle : 50 cm",,,,,Black,€99.00,,Petal Bag Mini Black,Bags,Bags / Accessories / New in,,,,,,,,,,,,,,,,,,
AMA-BG-BLUE-MINI,Amaluma,Petal Bag Mini BV Blue,"EACH BAG IS CRAFTED FROM CAREFULLY SELECTED, UPCYCLED MATERIALS, ENSURING BOTH STYLE AND SUSTAINABILITY. UPCYCLED BEDSHEETS.Every bag comes with a handmade dust bag . Handmade in Berlin.","Recycled polyester, upcycled from premium sheets","Dry cleaning for optimal results. However, if you choose to wash it at home, use a washing machine with cold water or set the temperature to a maximum of 30°C to prevent damage.",1,"Width : 30 cm  
Depth : 20 cm 
Handle : 50 cm",,,,,Blue,€110.00,,Petal Bag Mini BV Blue,Bags,Bags / Accessories / New in / Collabs,,,,,,,,,,,,,,,,,,
AMA-BG-PNK-MIDI,Amaluma,Petal Bag Midi Pink,"EACH BAG IS CRAFTED FROM CAREFULLY SELECTED, UPCYCLED MATERIALS, ENSURING BOTH STYLE AND SUSTAINABILITY. UPCYCLED BEDSHEETS.Every bag comes with a handmade dust bag . Handmade in Berlin.","Recycled polyester, upcycled from premium sheets","Dry cleaning for optimal results. However, if you choose to wash it at home, use a washing machine with cold water or set the temperature to a maximum of 30°C to prevent damage.",1,"Width : 70 cm 
Depth : 20 cm 
Handle : 90 cm",,,,,Pink,€149.00,,Petal Bag Midi Pink,Bags,Bags / Accessories / New in,,,,,,,,,,,,,,,,,,
ACS-SW-GRE-M-2000s,Art Control Sus,Upcycled 2000S vintage NIKE sweatshirt Green ,"UNIQUE PIECE. SEWN FROM A VINTAGE 2000S NIKE SWEATSHIRT AND A VINTAGE US ARMY DUFFLEBAG. 
SIZE ON LABEL: M
RECOMMENDED SIZE: M / 
CONDITION: VERY GOOD, NO FLAWS. ",,,1,"LENGHT: 62,5cm
PIT TO PIT: 63,5cm
",,,,,Green,€149.99,,Upcycled 2000S vintage NIKE sweatshirt Green ,Sweatshirt,Sweatshirts & pullovers / Women / Men / New in ,,,,,,,,,,,,,,,,,,
ACS-SW-WHI-XL-2000s,Art Control Sus,Upcycled 2000S vintage NIKE sweatshirt White,"UNIQUE PIECE. SEWN FROM A VINTAGE 2000S NIKE SWEATSHIRT AND A VINTAGE BLANKET. 
SIZE ON LABEL: XL / RECOMMENDED SIZE: L - XL
CONDITION: VERY GOOD, NO FLAWS",,,1,"LENGHT: 69cm
PIT TO PIT: 72,5cm",,,,,White,€169.99,,Upcycled 2000S vintage NIKE sweatshirt White,Sweatshirt,Sweatshirts & pullovers / Women / Men / New in ,,,,,,,,,,,,,,,,,,
ACS-SW-GRE-XL-1990s,Art Control Sus,Upcycled 1990S vintage NIKE sweatshirt Grey White,"UNIQUE PIECE. SEWN FROM A VINTAGE 1990S NIKE SWEATSHIRT AND A VINTAGE SWEATSHIRT
SIZE ON LABEL: XL
RECOMMENDED SIZE: L - XL
CONDITION: VERY GOOD, NO FLAWS",,,1,"LENGHT: 69,5cm
PIT TO PIT: 70cm",,,,,Grey / White,€169.99,,Upcycled 1990S vintage NIKE sweatshirt Grey White,Sweatshirt,Sweatshirts & pullovers / Women / Men / New in ,,,,,,,,,,,,,,,,,,
ACS-SW-BLU-XL-1990s,Art Control Sus,Upcycled 1990S vintage NIKE sweatshirt Grey Blue,"UNIQUE PIECE. SEWN FROM A VINTAGE 1990S NIKE SWEATSHIRT AND TWO VINTAGE SWEATSHIRTS
SIZE ON LABEL: M
RECOMMENDED SIZE: M - L
CONDITION: VERY GOOD, SLIGHTLY STRETCHED COLLAR",,,1,"LENGHT: 70cm
PIT TO PIT: 59,5cm",,,,,Grey / Blue,€164.99,,Upcycled 1990S vintage NIKE sweatshirt Grey Blue,Sweatshirt,Sweatshirts & pullovers / Women / Men / New in ,,,,,,,,,,,,,,,,,,
TBD,Art Control Sus,Upcycled Collab piece TBD,,,,,,,,,,,,,TBD,Sweatshirt,Sweatshirts & pullovers / Women / Men / New in / Collabs,,,,,,,,,,,,,,,,,,
KAMPI-BG-BABY-ZEB,Kamping,Baby Kamp Bag Waterproof Zebra,"The Baby Bag is the perfect blend of a belt bag and a stylish crossbody. Sporty, chic, and versatile — it offers enough space for all your essentials such as a 0.5-liter bottle, a Keep Cup, your wallet, a small sweater, and more.
With its detachable strap, it can be worn comfortably, while an optional stylish chain adds a fashionable touch to any outfit.
A practical inner pocket (approx. 18x13 cm) keeps your small essentials like keys or lipstick within easy reach. Made from durable gobelin fabric, the bag is sturdy, long-lasting, and machine washable at 30°C.
The simple, unisex design makes it a perfect everyday companion for anyone.
Weighing just about 120 g, it’s incredibly lightweight and can easily be folded and stored away.
Different straps and chains are available separately.
Handmade in Berlin.","49% Polyester, Baumwolle: 35%, 16% Acryl","Machine washable
Wash at 30°C
Iron at low heat
Do not bleach
Do not tumble dry
Dry clean",,approx. 27 cm x 23 cm x 7 cm (W x H x D),Ziper,Gold / Silver,Shoulder strapw,With / Without,Zebra,"€59,00 EUR - €79,00 EUR",,Baby Kamp Bag Zebra,Bags,Bags / Accessories / New in ,,The variant SHOULDER STRAP is what increases or lowers the price,,,,,,,,,,,,,,,,
KAMPI-BG-BABY-BLU,Kamping,Baby Kamp Bag Waterproof Blue,"The Baby Bag is the perfect blend of a belt bag and a stylish crossbody bag. Sporty, chic, and versatile — it offers enough space for all your essentials such as a 0.5-liter bottle, a Keep Cup, your wallet, a small sweater, and more.
With its detachable strap, it can be worn comfortably, while an optional stylish chain adds a fashionable touch to any outfit.
A practical inner pocket (approx. 18x13 cm) keeps your small items like keys or lipstick within easy reach.
Made from water-resistant ripstop material, the bag is durable, long-lasting, and machine washable at 30°C.

Note: Due to the zipper and external seams, moisture may penetrate in heavy rain. The material is waterproof up to a water column pressure of 5,000 mm, making it suitable for heavier showers or a few hours in light rain.
The simple, unisex design makes it a perfect companion for everyone.
Weighing only about 80 g, it’s incredibly lightweight and easy to fold and store.
Different straps and chains are available separately.
Handmade in Berlin.",100% Polyester: wasserfester Ripstop ,"Machine washable
Wash at 30°C
Iron at low heat
Do not bleach
Do not tumble dry
Dry clean",,approx. 27 cm x 23 cm x 7 cm (W x H x D),Ziper,Gold / Silver,Shoulder strapw,With / Without,Blue,"€59,00 EUR - €79,00 EUR",,Baby Kamp Bag Blue,Bags,Bags / Accessories / New in ,,The variant SHOULDER STRAP is what increases or lowers the price,,,,,,,,,,,,,,,,
KAMPI-BG-BABY-BRO,Kamping,Baby Kamp Bag Waterproof Brown,"The Baby Bag is the perfect blend of a belt bag and a stylish crossbody bag. Sporty, chic, and versatile — it offers enough space for all your essentials such as a 0.5-liter bottle, a Keep Cup, your wallet, a small sweater, and more.
With its detachable strap, it can be worn comfortably, while an optional stylish chain adds a fashionable touch to any outfit.
A practical inner pocket (approx. 18x13 cm) keeps your small items like keys or lipstick within easy reach.
Made from water-resistant ripstop material, the bag is durable, long-lasting, and machine washable at 30°C.

Note: Due to the zipper and external seams, moisture may penetrate in heavy rain. The material is waterproof up to a water column pressure of 5,000 mm, making it suitable for heavier showers or a few hours in light rain.
The simple, unisex design makes it a perfect companion for everyone.
Weighing only about 80 g, it’s incredibly lightweight and easy to fold and store.
Different straps and chains are available separately.
Handmade in Berlin.",100% Polyester: wasserfester Ripstop ,"Machine washable
Wash at 30°C
Iron at low heat
Do not bleach
Do not tumble dry
Dry clean",,approx. 27 cm x 23 cm x 7 cm (W x H x D),Ziper,Gold / Silver,Shoulder strapw,With / Without,Brown,"€59,00 EUR - €79,00 EUR",,Baby Kamp Bag Brown,Bags,Bags / Accessories / New in ,,The variant SHOULDER STRAP is what increases or lowers the price,,,,,,,,,,,,,,,,
KAMPI-BG-BABY-MOC,Kamping,Baby Kamp Bag Waterproof Mocha,"The Baby Bag is the perfect blend of a belt bag and a stylish crossbody bag. Sporty, chic, and versatile — it offers enough space for all your essentials such as a 0.5-liter bottle, a Keep Cup, your wallet, a small sweater, and more.
With its detachable strap, it can be worn comfortably, while an optional stylish chain adds a fashionable touch to any outfit.
A practical inner pocket (approx. 18x13 cm) keeps your small items like keys or lipstick within easy reach.
Made from water-resistant ripstop material, the bag is durable, long-lasting, and machine washable at 30°C.

Note: Due to the zipper and external seams, moisture may penetrate in heavy rain. The material is waterproof up to a water column pressure of 5,000 mm, making it suitable for heavier showers or a few hours in light rain.
The simple, unisex design makes it a perfect companion for everyone.
Weighing only about 80 g, it’s incredibly lightweight and easy to fold and store.
Different straps and chains are available separately.
Handmade in Berlin.",100% Polyester: wasserfester Ripstop ,"Machine washable
Wash at 30°C
Iron at low heat
Do not bleach
Do not tumble dry
Dry clean",,approx. 27 cm x 23 cm x 7 cm (W x H x D),Ziper,Gold / Silver,Shoulder strapw,With / Without,Mocha,"€59,00 EUR - €79,00 EUR",,Baby Kamp Bag Mocha,Bags,Bags / Accessories / New in ,,The variant SHOULDER STRAP is what increases or lowers the price,,,,,,,,,,,,,,,,
KAMPI-BG-BABY-BLK,Kamping,Baby Kamp Bag Waterproof Charcoal Black,"The Baby Bag is the perfect blend of a belt bag and a stylish crossbody bag. Sporty, chic, and versatile — it offers enough space for all your essentials such as a 0.5-liter bottle, a Keep Cup, your wallet, a small sweater, and more.
With its detachable strap, it can be worn comfortably, while an optional stylish chain adds a fashionable touch to any outfit.
A practical inner pocket (approx. 18x13 cm) keeps your small items like keys or lipstick within easy reach.
Made from water-resistant ripstop material, the bag is durable, long-lasting, and machine washable at 30°C.

Note: Due to the zipper and external seams, moisture may penetrate in heavy rain. The material is waterproof up to a water column pressure of 5,000 mm, making it suitable for heavier showers or a few hours in light rain.
The simple, unisex design makes it a perfect companion for everyone.
Weighing only about 80 g, it’s incredibly lightweight and easy to fold and store.
Different straps and chains are available separately.
Handmade in Berlin.",100% Polyester: wasserfester Ripstop ,"Machine washable
Wash at 30°C
Iron at low heat
Do not bleach
Do not tumble dry
Dry clean",,approx. 27 cm x 23 cm x 7 cm (W x H x D),Ziper,Gold / Silver,Shoulder strapw,With / Without,Charcoal black,"€59,00 EUR - €79,00 EUR",,Baby Kamp Bag Charcoal Black,Bags,Bags / Accessories / New in ,,The variant SHOULDER STRAP is what increases or lowers the price,,,,,,,,,,,,,,,,
KAMPI-BG-BABY-PNK,Kamping,Baby Kamp Bag Waterproof Pink Berry,"The Baby Bag is the perfect blend of a belt bag and a stylish crossbody bag. Sporty, chic, and versatile — it offers enough space for all your essentials such as a 0.5-liter bottle, a Keep Cup, your wallet, a small sweater, and more.
With its detachable strap, it can be worn comfortably, while an optional stylish chain adds a fashionable touch to any outfit.
A practical inner pocket (approx. 18x13 cm) keeps your small items like keys or lipstick within easy reach.
Made from water-resistant ripstop material, the bag is durable, long-lasting, and machine washable at 30°C.

Note: Due to the zipper and external seams, moisture may penetrate in heavy rain. The material is waterproof up to a water column pressure of 5,000 mm, making it suitable for heavier showers or a few hours in light rain.
The simple, unisex design makes it a perfect companion for everyone.
Weighing only about 80 g, it’s incredibly lightweight and easy to fold and store.
Different straps and chains are available separately.
Handmade in Berlin.",100% Polyester: wasserfester Ripstop ,"Machine washable
Wash at 30°C
Iron at low heat
Do not bleach
Do not tumble dry
Dry clean",,approx. 27 cm x 23 cm x 7 cm (W x H x D),Ziper,Gold / Silver,Shoulder strapw,With / Without,Pink Berry,"€59,00 EUR - €79,00 EUR",,Baby Kamp Bag Pink Berry,Bags,Bags / Accessories / New in ,,The variant SHOULDER STRAP is what increases or lowers the price,,,,,,,,,,,,,,,,
KAMPI-BG-EVRDAY-ZEB,Kamping,Everyday Bag Waterproof Zebra,"The Everyday Bag is your reliable companion for work, university, and daily life. With its generous size, it easily fits a 13"" or 15"" laptop, documents, or books, and can even serve as a small carry-on for flights. An inner pocket (23x18 cm) keeps smaller items like your keys or wallet safely stored.
New: You can now use the Everyday Bag (as well as all our other bags) with our practical crossbody straps and acrylic chains.
Made from durable gobelin fabric, it’s long-lasting and machine washable at 30°C. Weighing around 200 g, it’s lightweight and easy to fold and store.
With its functional and unisex design, it’s the ideal choice for everyday use.
Handmade in Berlin.","49% Polyester, 35% Cotton, 16% Acrylic","Machine washable
Wash at 30°C
Iron at low heat
Do not bleach
Do not tumble dry
Dry clean",,Dimensions: approx. 42 x 34 x 8 cm (W x H x D),Ziper,Gold / Silver,Shoulder strapw,With / Without,Zebra,"€79,00 EUR - €99,00 EUR",,Everyday Bag Zebra,Bags,Bags / Accessories / New in ,,The variant SHOULDER STRAP is what increases or lowers the price,,,,,,,,,,,,,,,,
KAMPI-BG-EVRDAY-BLU,Kamping,Everyday Bag Waterproof Blue,"The Everyday Bag is your reliable companion for work, university, and daily life. With its generous size, it easily fits a 13"" or 15"" laptop, documents, or books, and can even serve as a small carry-on for flights. An inner pocket (23x18 cm) keeps smaller items like your keys or wallet safely stored.
New: You can now use the Everyday Bag (as well as all our other bags) with our practical crossbody straps and acrylic chains.
Made from durable gobelin fabric, it’s long-lasting and machine washable at 30°C. Weighing around 200 g, it’s lightweight and easy to fold and store.
With its functional and unisex design, it’s the ideal choice for everyday use.
Handmade in Berlin.",100% Polyester: wasserfester Ripstop ,"Machine washable
Wash at 30°C
Iron at low heat
Do not bleach
Do not tumble dry
Dry clean",,Dimensions: approx. 42 x 34 x 8 cm (W x H x D),Ziper,Gold / Silver,Shoulder strapw,With / Without,Blue,"€79,00 EUR - €99,00 EUR",,Everyday Bag Blue,Bags,Bags / Accessories / New in ,,The variant SHOULDER STRAP is what increases or lowers the price,,,,,,,,,,,,,,,,
KAMPI-BG-EVRDAY-BRO,Kamping,Everyday Bag Waterproof Brown,"The Everyday Bag is your reliable companion for work, university, and daily life. With its generous size, it easily fits a 13"" or 15"" laptop, documents, or books, and can even serve as a small carry-on for flights. An inner pocket (23x18 cm) keeps smaller items like your keys or wallet safely stored.
New: You can now use the Everyday Bag (as well as all our other bags) with our practical crossbody straps and acrylic chains.
Made from durable gobelin fabric, it’s long-lasting and machine washable at 30°C. Weighing around 200 g, it’s lightweight and easy to fold and store.
With its functional and unisex design, it’s the ideal choice for everyday use.
Handmade in Berlin.",100% Polyester: wasserfester Ripstop ,"Machine washable
Wash at 30°C
Iron at low heat
Do not bleach
Do not tumble dry
Dry clean",,Dimensions: approx. 42 x 34 x 8 cm (W x H x D),Ziper,Gold / Silver,Shoulder strapw,With / Without,Brown,"€79,00 EUR - €99,00 EUR",,Everyday Bag Brown,Bags,Bags / Accessories / New in ,,The variant SHOULDER STRAP is what increases or lowers the price,,,,,,,,,,,,,,,,
KAMPI-BG-EVRDAY-MOC,Kamping,Everyday Bag Waterproof Mocha,"The Everyday Bag is your reliable companion for work, university, and daily life. With its generous size, it easily fits a 13"" or 15"" laptop, documents, or books, and can even serve as a small carry-on for flights. An inner pocket (23x18 cm) keeps smaller items like your keys or wallet safely stored.
New: You can now use the Everyday Bag (as well as all our other bags) with our practical crossbody straps and acrylic chains.
Made from durable gobelin fabric, it’s long-lasting and machine washable at 30°C. Weighing around 200 g, it’s lightweight and easy to fold and store.
With its functional and unisex design, it’s the ideal choice for everyday use.
Handmade in Berlin.",100% Polyester: wasserfester Ripstop ,"Machine washable
Wash at 30°C
Iron at low heat
Do not bleach
Do not tumble dry
Dry clean",,Dimensions: approx. 42 x 34 x 8 cm (W x H x D),Ziper,Gold / Silver,Shoulder strapw,With / Without,Mocha,"€79,00 EUR - €99,00 EUR",,Everyday Bag  Mocha,Bags,Bags / Accessories / New in ,,The variant SHOULDER STRAP is what increases or lowers the price,,,,,,,,,,,,,,,,
KAMPI-BG-EVRDAY-BLK,Kamping,Everyday Bag Waterproof Charcoal Black,"The Everyday Bag is your reliable companion for work, university, and daily life. With its generous size, it easily fits a 13"" or 15"" laptop, documents, or books, and can even serve as a small carry-on for flights. An inner pocket (23x18 cm) keeps smaller items like your keys or wallet safely stored.
New: You can now use the Everyday Bag (as well as all our other bags) with our practical crossbody straps and acrylic chains.
Made from durable gobelin fabric, it’s long-lasting and machine washable at 30°C. Weighing around 200 g, it’s lightweight and easy to fold and store.
With its functional and unisex design, it’s the ideal choice for everyday use.
Handmade in Berlin.",100% Polyester: wasserfester Ripstop ,"Machine washable
Wash at 30°C
Iron at low heat
Do not bleach
Do not tumble dry
Dry clean",,Dimensions: approx. 42 x 34 x 8 cm (W x H x D),Ziper,Gold / Silver,Shoulder strapw,With / Without,Charcoal black,"€79,00 EUR - €99,00 EUR",,Everyday Bag Charcoal Black,Bags,Bags / Accessories / New in ,,The variant SHOULDER STRAP is what increases or lowers the price,,,,,,,,,,,,,,,,
KAMPI-BG-EVRDAY-GRE,Kamping,Everyday Bag Waterproof Waterproof Matcha Green,"The Everyday Bag is your reliable companion for work, university, and daily life. With its generous size, it easily fits a 13"" or 15"" laptop, documents, or books, and can even serve as a small carry-on for flights. An inner pocket (23x18 cm) keeps smaller items like your keys or wallet safely stored.
New: You can now use the Everyday Bag (as well as all our other bags) with our practical crossbody straps and acrylic chains.
Made from durable gobelin fabric, it’s long-lasting and machine washable at 30°C. Weighing around 200 g, it’s lightweight and easy to fold and store.
With its functional and unisex design, it’s the ideal choice for everyday use.
Handmade in Berlin.",100% Polyester: wasserfester Ripstop ,"Machine washable
Wash at 30°C
Iron at low heat
Do not bleach
Do not tumble dry
Dry clean",,Dimensions: approx. 42 x 34 x 8 cm (W x H x D),Ziper,Gold / Silver,Shoulder strapw,With / Without,Matcha green,"€79,00 EUR - €99,00 EUR",,Everyday Bag Matcha Green,Bags,Bags / Accessories / New in ,,The variant SHOULDER STRAP is what increases or lowers the price,,,,,,,,,,,,,,,,
KAMPI-BG-MOM-ZEB,Kamping,Mom Bag / Weekender Waterproof Zebra,"The Mom Bag / Weekender is the ultimate all-rounder — perfect for moms, sports, sauna visits, or weekend trips. It offers plenty of space for everything you need, whether for travel, day trips, or as a spacious carry-on bag for flights.
New: From now on, you can use all our bags — including the Mom Bag — with our practical crossbody straps and acrylic chains.
The bag can hold up to 10 kg and remains strong and durable thanks to its sturdy material. A practical inner pocket (23x18 cm) keeps smaller items like your phone or wallet easily accessible.
Weighing just about 300 g, it’s incredibly lightweight and can be easily folded and stored away.
A particularly practical feature: you can also wear the bag as a shoulder or crossbody bag without an additional strap — ideal for cycling or attaching to a stroller. For more flexibility, however, we recommend adding the separate shoulder strap
With its zip closure, your belongings stay safely stored. The bag is also machine washable at 30°C, and its minimal, unisex design makes it a perfect companion for any occasion.
Handmade in Berlin.","49% Polyester, 35% Cotton, 16% Acrylic","Machine washable
Wash at 30°C
Iron at low heat
Do not bleach
Do not tumble dry
Dry clean",,Dimensions: approx. 60 x 45 x 10 cm (W x H x D),Ziper,Gold / Silver,Shoulder strapw,With / Without,Zebra,"€89,00 EUR - €109,00 EUR",,Mom Bag / Weekender Zebra,Bags,Bags / Accessories / New in ,,The variant SHOULDER STRAP is what increases or lowers the price,,,,,,,,,,,,,,,,
